album_id,album_genres,album_release_date,album_popularity
4UMjBXcRqIgMZ1XumU2x5T,,1998-09-11,77
2B4lHoTCpWbxQPTZmCOjnH,,1998-01-01,73
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
2RNTBrSO8U8XjjEj9RVvZ5,,1998-11-16,77
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
3coLNlyStg9h7f8CZ103Rl,,1998-11-09,74
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
2B4lHoTCpWbxQPTZmCOjnH,,1998-01-01,73
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
13btXEnBerpA1UjIVtsMAR,,1998-01-01,68
0jZfbz0dNfDjPSg0hYJNth,,1998,72
4UMjBXcRqIgMZ1XumU2x5T,,1998-09-11,77
1d3w7T3iyK3JJQ6kdpE6l9,,1998-01-01,65
3sSfjX4fhZonjyZ10x0l0f,,1998,71
3IIHk2ZLXKWuVAjCbQ9g4Y,,1998-04-28,67
1RejCnEA2V94czIZo8uuhC,,1998-06-30,70
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
2xIhksIizs6gWdRBYdiTLc,,1998-05-01,66
2RNTBrSO8U8XjjEj9RVvZ5,,1998-11-16,77
6MCNMOCRsh6nxs7PNzc0zN,,1998-05-12,68
1qJOmC60ez9RNWPg4ELMBW,,1998,58
3Ohs7Jo6GM6mydUOL0m5aC,,1998-01-01,66
11Rni6y5dnNo6NRVuxltIj,,1998-01-27,64
6wpqS71CJr3I0dLguYiZdJ,,1998-11-03,59
6eGYLONkDMja0MNtZWnRRB,,1998-07-14,63
1Co6e9ag1gRKcWdG7xKcCi,,1998-05-29,66
0DuFDnZcj7B4R0Jik1aDmY,,1998-07-07,61
3P2WRy9eBoBbSTCZWGQOoO,,1998-07-13,57
5ceB3rxgXqIRpsOvVzTG28,,1998-09-29,65
4ebpJ41hnGAIBZ8Cwua250,,1998-09-08,60
2czjXveZPf9X2dutQGlh2r,,1998,56
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
1BZoqf8Zje5nGdwZhOjAtD,,1998-08-25,75
43NNW7iDuAE8pIouzvwWWi,,1998-12-23,60
2S3289mypNw2zP0OpFexMb,,1998-02-24,71
2lKDDrmx5aqyBRkho5ljn5,,1998-04-10,59
2RNTBrSO8U8XjjEj9RVvZ5,,1998-11-16,77
2B4lHoTCpWbxQPTZmCOjnH,,1998-01-01,73
7nFlAxnXMrQRpM1R80pKQm,,1998-08-05,63
2KE8WCHtD8qnAxXeIzNEId,,1998-01-01,64
1w7vC8hjYXhK1fS5cM2fUM,,1998-01-01,63
6uIB97CqMcssTss9WrtX8c,,1998-10-30,57
5b7HQ04lPT7eGJQ7fmVsjC,,1998-11-24,61
1RejCnEA2V94czIZo8uuhC,,1998-06-30,70
5ksj97hVu25U5lHRov3kkX,,1998,60
7nFlAxnXMrQRpM1R80pKQm,,1998-08-05,63
3j1xCJdBMCl6wYQXurz2tb,,1998-11-29,63
378XG6oO0TWcsGuxeQy2Os,,1998-04-14,60
1RejCnEA2V94czIZo8uuhC,,1998-06-30,70
3fk5Yk62Lekng4NQ89980F,,1998-08-18,67
5f6Nz2v1DESbpu1NerEql2,,1998-03-31,67
3PFEg7sWLEMuS3nyTIguEV,,1998,60
3sSfjX4fhZonjyZ10x0l0f,,1998,71
5kP2AlLe5EsHEx6y3HpJjN,,1998-06-16,62
1w7vC8hjYXhK1fS5cM2fUM,,1998-01-01,63
1d3w7T3iyK3JJQ6kdpE6l9,,1998-01-01,65
5ceB3rxgXqIRpsOvVzTG28,,1998-09-29,65
01aoYWjhjshlHf5vJNYb03,,1998-02-24,53
6YLiyX7kvfDkKu1AGhQj6z,,1998,66
2jQdDSxc2T21OFC72lAMYL,,1998,59
0bCx3zLZj4wezD07YFrLPM,,1998-10-03,59
4VwV8hjVXteVkVNDCYPN1M,,1998-06-01,69
4UuS4hlOMP5akz21glTQCL,,1998-03-17,59
11Rni6y5dnNo6NRVuxltIj,,1998-01-27,64
0vVekV45lOaVKs6RZQQNob,,1998-02-20,62
3j1xCJdBMCl6wYQXurz2tb,,1998-11-29,63
2ea5ZDzeyLlnZrO6l688wd,,1998-01-01,55
0FH3WsTCWaDmfpEojJ4sN2,,1998-09-29,59
4aHIYnbJXldkqugU3YpRSs,,1998-03-03,52
0gsiszk6JWYwAyGvaTTud4,,1998-08-18,73
4f7HKjBnjpMsDBDTHYV890,,1998-06-23,64
7Kusf5plZjl76X5ARWJbNO,,1998-07-20,66
3BjdplCY4YtqvNd3s25caN,,1998-01-01,50
1WBZyULtlANBKed7Zf9cDP,,1998-01-01,79
1srJ4xgMWliQdwquG81ObA,,1998-08-31,54
3IIHk2ZLXKWuVAjCbQ9g4Y,,1998-04-28,67
5b7HQ04lPT7eGJQ7fmVsjC,,1998-11-24,61
4UuS4hlOMP5akz21glTQCL,,1998-03-17,59
27h98zEMf4R8Q25uOkumGe,,1998-11-27,67
6jaSOjkWloHKbzr0N8x1Qu,,1998-02-05,49
49MNmJhZQewjt06rpwp6QR,,1998-01-01,66
