song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness
5Q0Nhxo0l2bP3pNjpGJwV1,96.021,audio_features,-4.667,0,0.042,0.0886,0.47,0.652,0.698,0.00112,0.000115
3QLjDkgLh9AOEHlhQtDuhs,162.361,audio_features,-2.176,1,0.375,0.134,0.558,0.395,0.922,0.19,0.0
1YLJVmuzeM2YSUkCCaTNUB,149.954,audio_features,-5.315,1,0.0847,0.117,0.245,0.492,0.81,0.0416,0.00379
3Pzh926pXggbMe2ZpXyMV7,156.036,audio_features,-7.075,1,0.106,0.372,0.917,0.636,0.849,0.0438,0.0
4k7x3QKrc3h3U0Viqk0uop,159.719,audio_features,-13.111,0,0.0302,0.0971,0.121,0.329,0.277,0.971,0.024
5wfllwdjglyQislkskYLBv,138.014,audio_features,-6.278,0,0.0646,0.119,0.804,0.881,0.441,0.48,9.08e-06
0SiywuOBRcynK0uKGWdCnn,119.001,audio_features,-3.755,1,0.0363,0.0842,0.714,0.696,0.921,0.00314,5.24e-05
2H1047e0oMSj10dgp7p2VG,127.966,audio_features,-6.375,1,0.0265,0.509,0.61,0.744,0.766,0.0873,0.0
2igwFfvr1OAGX9SKDCPBwO,173.585,audio_features,-1.538,1,0.392,0.46,0.811,0.491,0.956,0.0295,0.0
7LR85XLWw2yXqKBSI5brbG,86.844,audio_features,-1.802,1,0.29,0.263,0.441,0.632,0.924,0.281,0.0
3Kj2EWpIBnvETsYq4cq0IH,110.044,audio_features,-15.926,1,0.0317,0.104,0.468,0.6,0.186,0.909,0.00102
2UREu1Y8CO4jXkbvqAtP7g,134.992,audio_features,-2.336,1,0.0741,0.0789,0.692,0.64,0.957,0.0431,0.0
6cmm1LMvZdB5zsCwX5BjqE,132.012,audio_features,-4.498,1,0.0286,0.0821,0.728,0.727,0.68,0.0101,0.0
1Bv3h7Vc4AaYA2BcSM3rVd,144.036,audio_features,-4.559,0,0.0441,0.134,0.152,0.494,0.723,0.0192,0.0322
4B4vB3oB8csotplfoQcAd6,138.81,audio_features,-8.121,1,0.0271,0.0905,0.496,0.52,0.496,0.0234,2.05e-05
3DamFFqW32WihKkTVlwTYQ,180.114,audio_features,-6.797,1,0.0439,0.118,0.472,0.512,0.662,0.0275,0.0
6MtKObWYda2qnNIpJI21uD,115.277,audio_features,-8.951,1,0.0414,0.298,0.266,0.63,0.605,0.484,9.29e-05
5iSEsR6NKjlC9SrIJkyL3k,115.277,audio_features,-8.951,1,0.0414,0.298,0.266,0.63,0.605,0.484,9.29e-05
5UsLjwBaTHBX4ektWIr4XX,104.02,audio_features,-2.278,0,0.342,0.182,0.54,0.457,0.906,0.249,0.0
5vlEg2fT4cFWAqU5QptIpQ,91.031,audio_features,-6.323,1,0.0708,0.168,0.195,0.706,0.751,0.173,0.0
3EUl8M6SzxZl03NPkB8mUd,102.408,audio_features,-6.508,1,0.0247,0.118,0.458,0.698,0.632,0.554,0.0
