song_id,song_name,song_duration,song_popularity,artist_id,album_id
0JXXNGljqupsJaZsgSbMZV,Sure Thing,195373,89,360IAlyVv4PCEVjgyMZrxK,493HYe7N5pleudEZRyhE7R
1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,102813,83,360IAlyVv4PCEVjgyMZrxK,493HYe7N5pleudEZRyhE7R
3DK6m7It6Pw857FcQftMds,Runaway,547733,85,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,220734,86,0du5cEVh5yTK9QJze8zA0C,1uyf3l2d4XYwiEqAb7t7fX
7FAFkQQZFeNwOFzTrSDFIh,The Spins,195873,83,4LLpKhyESsyAXpc4laK94U,6TFm9KGW7Lbxrl2Zsg4X9R
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),263773,79,6f4XkbvYlXMH0QgVRzW0sM,6MQtWELG7aRX7CkAzQ6nLM
42qNWdLKCI41S4uzfamhFM,Duvet,203600,84,5jTtGLk1mGFMY5lQOvJYUj,7sGYAV0xv7ZfAMzIpMl8m1
1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,351946,82,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,217866,84,0du5cEVh5yTK9QJze8zA0C,1uyf3l2d4XYwiEqAb7t7fX
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),230733,78,6jJ0s89eD6GaHleKKya26X,2eQMC9nJE3f3hCNKlYYHL1
3hlksXnvbKogFdPbpO9vel,Super Bass,200013,82,0hCNtLu0JehylgoiP8L4Gh,7aADdYLiK1z7GlMFr0UIZw
2tJulUYLDKOg9XrtVkMgcJ,Grenade,222091,80,0du5cEVh5yTK9QJze8zA0C,1uyf3l2d4XYwiEqAb7t7fX
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",216773,85,3FUY2gzHeIiaesXtOAdB7A,1CwXS6MAz8Wo7K4TzW9iuR
0V5cvmTKsYmF5FmGGEAfmS,Je te laisserai des mots,160853,86,7bPs6jf983f0bjRAt1yxDM,7KPvATOyLVFbV6UR6DujF8
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,199693,84,6LqNN22kT3074XbTVUrhzX,6fpLLJsDSSAlToEDW2jv4F
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),235493,85,5pKCCKE2ajJHZ9KAiaK11H,5QG3tjE5L9F6O2vCAPph38
0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,198213,81,7dIpKWlEeAljA20vFJ82RD,42vd9Cgr89pjb0Jipvaj5d
5jzKL4BDMClWqRguW5qZvh,Teenage Dream,227741,77,6jJ0s89eD6GaHleKKya26X,2eQMC9nJE3f3hCNKlYYHL1
22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,299613,81,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,263373,86,7dGJo4pcD2V6oG8kP0tJRR,47BiFcV59TQi2s9SkBo2pb
0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,234800,80,4mLJ3XfOM5FPjSAWdQ2Jk7,16XswZ18xhMs8qUTN51mRl
7ySUcLPVX7KudhnmNcgY2D,S&M,243600,83,5pKCCKE2ajJHZ9KAiaK11H,5QG3tjE5L9F6O2vCAPph38
2gZUPNdnz5Y45eiGxpHGSc,POWER,292093,81,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),220800,82,23zg3TcAtWQy7J6upgbUnj,6A1F3Fkq5dYeYYNkXflcTX
3GBApU0NuzH4hKZq4NOSdA,What You Know,191706,76,536BYVgOnRky0xjsPT96zl,0wNjC8d3ve2L2yaomEWUsa
3fpTMuD1u3gJlVI4FadVHs,Fancy,319386,74,3TVXtAsR1Inumwj472S9r4,6jlrjFR9mJV3jd1IPSplXU
60IGhnH20N82dNxKnc8jDd,Knee Deep (feat. Jimmy Buffett),203173,75,6yJCxee7QumYr820xdIsjo,7xnimikDuIBDpLeLrjptb8
6epn3r7S14KUqlReYr77hA,Baby,214240,84,1uNFoZAHBGtllmzznpCI3s,3BmcYMh0KYsimWL6p2gPa9
22PMfvdz35fFKYnJyMn077,Marry You,230192,78,0du5cEVh5yTK9QJze8zA0C,1uyf3l2d4XYwiEqAb7t7fX
7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",201160,74,04gDigrS5kc9YWfZHwBETP,7strNUlU6xZqlVWBNUdOYv
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,198773,81,33ScadVnbm2X8kkUqOkC6Z,6mGDfbDErYIJsmSewvccWm
6KOEK6SeCEZOQkLj5M1PxH,California Gurls,234653,74,6jJ0s89eD6GaHleKKya26X,2eQMC9nJE3f3hCNKlYYHL1
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,202960,81,1KCSPY1glIKqW2TotWuXOR,3uQMzfrf4kUNGsCtmTtjPh
5VA4Ispp52EA1sOqzMz3Av,All I Want Is You (feat. J. Cole),295920,76,360IAlyVv4PCEVjgyMZrxK,493HYe7N5pleudEZRyhE7R
2ncLdwTd8qzkxiJjlbiOgC,Mr. Rager,294213,73,0fA0VVWsXO9YnASrzqfmYu,0InO6eGRL47KErEYEoc2rP
6hkOqJ5mE093AQf2lbZnsG,The One That Got Away,227333,75,6jJ0s89eD6GaHleKKya26X,2eQMC9nJE3f3hCNKlYYHL1
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,213293,78,2KsP6tYLJlTBvSUxnwlVWa,2nnIlWcriIqcJtjduWcTRl
7JwdbqIpiuWvGbRryKSuBz,Es un Secreto,190560,72,2jSGzJw0ebJLu7OLVSOcBP,0qmyud8qe8LqaVQ1YQ7S5G
6BdgtqiV3oXNqBikezwdvC,Over,233560,73,3TVXtAsR1Inumwj472S9r4,6jlrjFR9mJV3jd1IPSplXU
40gk32E7YaTFoQwDIWv2SY,Christmas Kids,135693,79,7dIpKWlEeAljA20vFJ82RD,42vd9Cgr89pjb0Jipvaj5d
3JA9Jsuxr4xgHXEawAdCp4,Just Can’t Get Enough,219426,81,1yxSLGMDHlW21z4YXirZDS,3IpexNXiKbezuY526S4Jvy
10eBRyImhfqVvkiVEGf0N0,Enchanted,352186,72,06HL4z0CvFAxyc27GXpf02,5MfAxS5zz8MlfROjGQVXhy
4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),242013,74,2iojnBLj0qIMiKPvVhLnsH,3sDoSYf2AKB2IegZmkISGD
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),268320,79,5ndkK3dpZLKtBklKjxNQwT,7apLPYT8szV1IqTxyVSy5P
1fBl642IhJOE5U319Gy2Go,Animal,212293,72,0RpddSzUHfncUWNJXKOsjy,7xpjpdislqMXOCw5xsDt4g
4r6eNCsrZnQWJzzvFh4nlg,Firework,227893,74,6jJ0s89eD6GaHleKKya26X,2eQMC9nJE3f3hCNKlYYHL1
1DqdF42leyFIzqNDv9CjId,Dynamite,203866,73,6MF9fzBmfXghAz953czmBC,159jpldDCgsgH6KGgjy63c
7Ie9W94M7OjPoZVV216Xus,Not Afraid,248133,82,7dGJo4pcD2V6oG8kP0tJRR,47BiFcV59TQi2s9SkBo2pb
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),180480,78,5ndkK3dpZLKtBklKjxNQwT,7apLPYT8szV1IqTxyVSy5P
0grFc6klR3hxoHLcgCYsF4,Howlin' for You,191800,72,7mnBLXK823vNxN3UWB7Gfz,7qE6RXYyz5kj5Tll7mJU0v
4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,216893,72,698hF4vcwHwPy8ltmXermq,1TuKgkCGIxiIns9Bc5XKRC
3U8dHeggJ8IBe0UCb1gbyB,Colder Weather,273893,72,6yJCxee7QumYr820xdIsjo,7xnimikDuIBDpLeLrjptb8
1ExfPZEiahqhLyajhybFeS,The Lazy Song,189109,75,0du5cEVh5yTK9QJze8zA0C,1uyf3l2d4XYwiEqAb7t7fX
5YJtMNWKe55yr49cyJgxva,Everytime We Touch,197124,75,0N0d3kjwdY2h7UVuTdJGfp,2unbJ7dUr9mITQiMwWFqQD
0u4N6w5lBw5xMrzJitRWUo,Corazón Sin Cara,211453,76,3MHaV05u0io8fQbZ2XPtlC,5zEFCJy9kAyD8rMbBESdYh
1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,200173,79,3AA28KZvwAUcZuOKwyblJQ,2dIGnmEIy1WZIcZCFSj6i8
11EX5yhxr9Ihl3IN1asrfK,Need You Now,277573,72,32WkQRZEVKSzVAAYqukAEA,3hnGcNi8oqGdwTm3CeniFA
1Ty1beNcNEbOXbO9fJNIXu,Things to Do,157874,75,6lcwlkAjBPSKnFBZjjZFJs,3hY0WIR79EKnQcwUsyRy5m
7cAFB83sEKAmwekVvQtGZj,Nikes on My Feet,164631,76,4LLpKhyESsyAXpc4laK94U,1jzqEyjugAp9iLtRsj9LZg
