artist_id,artist_genres,artist_popularity
6Cqtx9fpxzggIMuKn0RGCp,,71
35WVTyRnKAoaGExqgktVyb,modern indie pop,73
3tlXnStJ1fFhdScmQeLpuG,"r&b, rap",82
06HL4z0CvFAxyc27GXpf02,pop,100
06HL4z0CvFAxyc27GXpf02,pop,100
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap",88
57vWImR43h4CaDao012Ofp,afrofuturism,79
4YLtscXsxbVgi031ovDDdh,"contemporary country, outlaw country",78
40ZNYROS4zLfyyBSs2PGe2,"classic oklahoma country, modern country pop",87
4yvcSjfu4PC0CYQyLy4wSq,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",72
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",93
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap",88
3tlXnStJ1fFhdScmQeLpuG,"r&b, rap",82
5fMUXHkw8R8eOP2RNVYEZX,"dance pop, edm, electro house, moombahton, pop dance",75
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap",88
1VPmR4DJC1PlOtd0IADAO0,"cloud rap, dark trap, new orleans rap, underground hip hop",84
699OTQXzgjhIYAHMy9RyPD,"atl hip hop, plugg, pluggnb, rage rap, rap",83
6QtgPSJPSzcnn7dPZ4VINp,chicago rap,74
6AgTAQt8XS6jRWi4sX7w49,"chicago rap, rap",79
3XxNRirzbjfLdDli06zMaB,"noise pop, pov: indie",72
1U1el3k54VvEUzo3ybLPlM,colombian pop,82
4Uc8Dsxct0oMqx0P6i60ea,"bedroom pop, pop, pov: indie",76
4V8LLVI7PbaPR0K2TGSxFF,"hip hop, rap",82
31W5EY0aAly4Qieq6OFu6I,"melodic rap, rap, trap",78
3gBZUcNeVumkeeJ19CY2sX,rage rap,78
5f7VJjfbwm532GiveGC0ZK,"atl hip hop, atl trap, rap, trap",84
55fhWPvDiMpLnE4ZzNXZyW,"alt z, pop",68
06HL4z0CvFAxyc27GXpf02,pop,100
5INjqkS1o8h1imAzPqGZBb,"australian psych, modern rock, neo-psychedelic, rock",77
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",93
718COspgdWOnwOFpJHRZHS,"contemporary country, country",81
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, hip hop, rap",87
4YLtscXsxbVgi031ovDDdh,"contemporary country, outlaw country",78
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",93
57vWImR43h4CaDao012Ofp,afrofuturism,79
06HL4z0CvFAxyc27GXpf02,pop,100
3tlXnStJ1fFhdScmQeLpuG,"r&b, rap",82
06HL4z0CvFAxyc27GXpf02,pop,100
45dkTj5sMRSjrmBSBeiHym,"alt z, pop",81
6AgTAQt8XS6jRWi4sX7w49,"chicago rap, rap",79
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
4npEfmQ6YuiwW1GpUmaq3F,pop,77
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap",87
06HL4z0CvFAxyc27GXpf02,pop,100
1VPmR4DJC1PlOtd0IADAO0,"cloud rap, dark trap, new orleans rap, underground hip hop",84
06HL4z0CvFAxyc27GXpf02,pop,100
6ZLTlhejhndI4Rh53vYhrY,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, nu metal, rock",69
0XeEobZplHxzM9QzFQWLiR,"corrido, corridos tumbados, sad sierreno, sierreno",78
4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, pluggnb, rap",79
4Gso3d4CscCijv0lmajZWs,"pop rap, rap, trap",79
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
0eDvMgVFoNV3TpwtrVCoTj,"brooklyn drill, rap",78
2jku7tDXc6XoB6MO2hFuqg,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",78
4MCBfE4596Uoi2O4DtmEMz,"chicago rap, melodic rap, rap",84
06HL4z0CvFAxyc27GXpf02,pop,100
6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop",84
699OTQXzgjhIYAHMy9RyPD,"atl hip hop, plugg, pluggnb, rage rap, rap",83
0RESbWvOMyua0yuyVrztJ5,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",74
06HL4z0CvFAxyc27GXpf02,pop,100
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96
5Zq7R5qmi58ByYyBQTlNuk,"contemporary country, country, country road, modern country rock",67
6oMuImdp5ZcFhWP0ESe6mG,"atl hip hop, hip hop, pop rap, rap, trap",74
5YGY8feqx7naU7z4HrwZM6,pop,83
