album_id,album_genres,album_release_date,album_popularity,year
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80,1994
1Bwo9JkbVwxGyvtQNMRK21,,1994-10-03,76,1994
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79,1994
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77,1994
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73,1994
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79,1994
29sTacnS0qA9xri6YS8xLA,,1994-03-09,71,1994
57lcTrUlYgfMIPvBUsVU6h,,1994-06-07,69,1994
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73,1994
7IDywTRaCI8qzS3X8tNU3x,,1994-04-08,73,1994
0iIGP4Sxw3KR4OCFv2yvz8,,1994-03-01,62,1994
61ulfFSmmxMhc2wCdmdMkN,,1994-10-28,80,1994
1hB7vz3JKWZ2sKEPeVolH9,,1994-01-01,63,1994
6lfjbwFGzQ6aSNP1N3JlT8,,1994-05-23,68,1994
2VMGv3inRLPM4GOMXf37qu,,1994-06-07,68,1994
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75,1994
2HTbQ0RHwukKVXAlTmCZP2,,1994-09-13,77,1994
4XbPmVHP7EYBMoE7ZVjKCU,,1994-11-08,68,1994
4FCoFSNIFhK36holxHWCnc,,1994,68,1994
5eg56dCpFn32neJak2vk0f,,1994-11-15,69,1994
3nJnyDV8fwFpffo0EyHQto,,1994-03-08,61,1994
7IDywTRaCI8qzS3X8tNU3x,,1994-04-08,73,1994
5AYmpTfdv1OoASUJ5rZB7K,,1994-07-01,66,1994
3y63u5vmuMugqI8lfuUY3a,,1994-01-01,71,1994
7yQtjAjhtNi76KRu05XWFS,,1994,71,1994
1To7kv722A8SpZF789MZy7,,1994-11-01,74,1994
5g2FfZVMvBqRmuHjNsaf3l,,1994-06-21,64,1994
1xpGyKyV26uPstk1Elgp9Q,,1994-05-10,73,1994
2B2KQTgQr3UhQf4n2VtoUG,,1994-03-22,61,1994
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72,1994
3ZGUBwDiY5HPOcWv4SBPQg,,1994-10-21,65,1994
3uSWaQxJAdm5MWKQkQJNoK,,1994-10-31,75,1994
53g8c9eM74nQkKXDEE5tlu,,1994-01-01,59,1994
4K8bxkPDa5HENw0TK7WxJh,,1994-03-09,62,1994
29sTacnS0qA9xri6YS8xLA,,1994-03-09,71,1994
4ZsG3ifn9sIcrFT1ecw0gF,,1994-01-01,65,1994
6iv9WTw1nhNxSsgKaxMp4E,,1994,73,1994
5eg56dCpFn32neJak2vk0f,,1994-11-15,69,1994
5g2FfZVMvBqRmuHjNsaf3l,,1994-06-21,64,1994
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70,1994
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72,1994
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79,1994
7D3XFJlfZIkmGWqZXm2X8z,,1994-10-11,67,1994
3YA5DdB3wSz4pdfEXoMyRd,,1994-01-01,70,1994
129ZZNyaPOWi5OsZEyQKIP,,1994-01-01,60,1994
6iv9WTw1nhNxSsgKaxMp4E,,1994,73,1994
1mSECpFqHRW6leG4idqTE1,,1994-05-31,65,1994
2VMGv3inRLPM4GOMXf37qu,,1994-06-07,68,1994
2LjYjQN5yVZYiZNDIVIKDf,,1994-01-01,60,1994
3ZGUBwDiY5HPOcWv4SBPQg,,1994-10-21,65,1994
3kEtdS2pH6hKcMU9Wioob1,,1994-04-19,72,1994
18eJ4H4smFp29lRMsLygUc,,1994-03-22,60,1994
2e6Hp6xaTbUDVzcGLNTHm0,,1994-08-30,73,1994
5nNeSC4KNxT50MnliLuGRa,,1994-01-01,59,1994
6iv9WTw1nhNxSsgKaxMp4E,,1994,73,1994
4uG8q3GPuWHQlRbswMIRS6,,1994-02-01,79,1994
