artist_id,artist_genres,artist_popularity,year
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77,1994
7t0rwkOPGlDPEhaOcVtOt9,"irish rock, pop rock, rock",71,1994
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78,1994
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74,1994
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70,1994
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78,1994
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64,1994
2UazAtjfzqBF0Nho2awK4z,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",64,1994
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70,1994
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74,1994
3vbKDsSS70ZX9D2OcvbZmS,"alternative rock, anti-folk, permanent wave, rock",63,1994
4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, urban contemporary",77,1994
78OAtwN3XpjMcjibnF2Kw5,"contemporary country, country, country road",53,1994
03r4iKL2g2442PT9n2UKsx,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock",66,1994
2B4ZHz4QDWJTXPFPgO5peE,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap",60,1994
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70,1994
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74,1994
1Mxqyy3pSjf8kZZL4QVxS0,"adult standards, easy listening, lounge",76,1994
64tNsm6TnZe2zpcMVMOoHL,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",69,1994
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66,1994
0X380XXQSNBYuleKzav5UO,"alternative metal, alternative rock, cyberpunk, electronic rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",63,1994
5LfGQac0EIXyAN8aUwmNAQ,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",74,1994
08ct2eZF5lUPdJpHwNKWof,"heartland rock, pop rock, post-grunge",57,1994
4TK1gDgb7QKoPFlzRrBRgR,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino",69,1994
3nnQpaTvKb5jCQabZefACI,"melancholia, permanent wave, singer-songwriter",62,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
5spEJXLwD1sKUdC2bnOHPg,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",63,1994
3jOstUTkEu2JkjvRdBA5Gu,"alternative rock, modern power pop, modern rock, permanent wave, rock",70,1994
4e5V1Q2dKCzbLVMQ8qbTn6,"alternative rock, grunge, pop rock, post-grunge, rock",57,1994
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71,1994
2UZMlIwnkgAEDBsw1Rejkn,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",66,1994
47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",70,1994
0xxJO75NeIAF5jYruLYIDT,"contemporary country, country, country road",53,1994
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64,1994
5xUf6j4upBrXZPg6AI4MRK,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",64,1994
6eoJpTIlcuxJNjV5fDzDJH,"grunge, pop rock, post-grunge",58,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
0TImkz4nPqjegtVSMZnMRq,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",66,1994
5spEJXLwD1sKUdC2bnOHPg,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap",63,1994
5UdPkKWd8YNR5xGcmqH9QJ,movie tunes,56,1994
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71,1994
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78,1994
3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",73,1994
0P0do9GwiSgweSF6Ui3mrv,movie tunes,52,1994
3TQ9JTBI2n2hfo7aRONEYV,old school hip hop,57,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
5GtMEZEeFFsuHY8ad4kOxv,"british soul, new wave pop",60,1994
2B4ZHz4QDWJTXPFPgO5peE,"g funk, gangster rap, hardcore hip hop, hip hop, west coast rap",60,1994
2M3vnW1p5w4uPRkLYTbvdB,"jam band, pittsburgh rock",54,1994
2UZMlIwnkgAEDBsw1Rejkn,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",66,1994
20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",71,1994
6roFdX1y5BYSbp60OTJWMd,"contemporary country, country, country road",68,1994
2nszmSgqreHSdJA3zWPyrW,"bolero, latin pop",79,1994
3pHeBYl1yujXcZqqfF1UyQ,"heartland rock, jam band, pop rock, post-grunge",52,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
7oPftvlwr6VrsViSDV7fJY,"modern rock, permanent wave, punk, rock",78,1994
3Mcii5XWf6E0lrY3Uky4cA,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap",71,1994
1Mxqyy3pSjf8kZZL4QVxS0,"adult standards, easy listening, lounge",76,1994
08ct2eZF5lUPdJpHwNKWof,"heartland rock, pop rock, post-grunge",57,1994
6liAMWkVf5LH7YR9yfFy1Y,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop",60,1994
6GI52t8N5F02MxU0g5U69P,"blues rock, classic rock, mexican classic rock",68,1994
5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",74,1994
2QMMktUMtwMSwUZATX1cRO,"alternative rock, grunge, pop rock, post-grunge",46,1994
05oH07COxkXKIMt6mIPRee,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",62,1994
3pHeBYl1yujXcZqqfF1UyQ,"heartland rock, jam band, pop rock, post-grunge",52,1994
6IE6z7DcZIT4Ml3Fh5Ivch,"mexican pop, tejano",67,1994
0urTpYCsixqZwgNTkPJOJ4,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",65,1994
2UazAtjfzqBF0Nho2awK4z,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",64,1994
1w5Kfo2jwwIPruYS2UWh56,"alternative metal, alternative rock, grunge, permanent wave, rock",71,1994
6O74knDqdv3XaWtkII7Xjp,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",63,1994
6olE6TJLqED3rqDCT0FyPh,"grunge, permanent wave, rock",78,1994
3hYtANQYrE6pd2PbtEyTIy,"musica mexicana, norteno, ranchera",73,1994
1Uff91EOsvd99rtAupatMP,"classical, impressionism, post-romantic era",66,1994
64tNsm6TnZe2zpcMVMOoHL,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",69,1994
