song_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness,year
0bYg9bo50gSsH3LtXe2SQn,150.273,audio_features,-7.463,1,0.0384,0.0708,0.35,0.336,0.627,0.164,0.0,1994
7EZC6E7UjZe63f1jRmkWxt,166.915,audio_features,-8.994,1,0.035,0.367,0.312,0.309,0.649,0.0158,0.00591,1994
6L89mwZXSOwYl76YXfX13s,85.064,audio_features,-3.205,1,0.0602,0.091,0.781,0.442,0.943,0.00293,8.71e-06,1994
2g8HN35AnVGIk7B8yMucww,84.492,audio_features,-7.247,0,0.273,0.143,0.773,0.78,0.575,0.43,0.0,1994
6VoIBz0VhCyz7OdEoRYDiA,151.779,audio_features,-7.136,1,0.0352,0.07,0.453,0.634,0.551,0.00737,1.82e-05,1994
1Dr1fXbc2IxaK1Mu8P8Khz,97.546,audio_features,-4.236,1,0.034,0.231,0.814,0.531,0.909,0.0175,0.0,1994
2EoOZnxNgtmZaD8uUmz2nD,105.435,audio_features,-5.373,1,0.041,0.0774,0.147,0.35,0.828,0.000217,0.000161,1994
6qLEOZvf5gI7kWE63JE7p3,170.814,audio_features,-7.327,1,0.0452,0.126,0.49,0.215,0.927,0.000273,0.00661,1994
3mwvKOyMmG77zZRunnxp9E,121.138,audio_features,-4.606,1,0.0367,0.117,0.771,0.556,0.92,0.00271,0.00021,1994
1FkoVC85Ds3mFoK0fVqEqP,104.56,audio_features,-7.595,1,0.0476,0.359,0.706,0.488,0.862,0.0204,0.0,1994
5PntSbMHC1ud6Vvl8x56qd,85.387,audio_features,-10.45,1,0.119,0.405,0.786,0.654,0.611,0.0337,0.000178,1994
3PIDciSFdrQxSQSihim3hN,127.148,audio_features,-7.444,1,0.0317,0.109,0.704,0.561,0.782,0.022,0.0,1994
0Xg68XXMRWzKQvD5S6BFvI,99.942,audio_features,-11.124,1,0.0389,0.292,0.858,0.736,0.614,0.0237,5.84e-06,1994
0Puj4YlTm6xNzDDADXHMI9,168.131,audio_features,-7.332,0,0.102,0.0961,0.543,0.324,0.938,0.032,0.0321,1994
7nYvUtkQMx1v80S2FH2s9J,95.265,audio_features,-12.999,0,0.216,0.115,0.763,0.849,0.521,0.304,1.65e-06,1994
1Hv1VTm8zeOeybub15mA2R,119.336,audio_features,-6.619,0,0.0321,0.0298,0.962,0.734,0.58,0.238,0.0006,1994
