song_id,song_name,song_duration,song_popularity,artist_id,album_id,year
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,241106,89,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,1994
7EZC6E7UjZe63f1jRmkWxt,Zombie,306440,86,7t0rwkOPGlDPEhaOcVtOt9,1Bwo9JkbVwxGyvtQNMRK21,1994
6L89mwZXSOwYl76YXfX13s,Basket Case,181533,84,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,1994
2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,252746,82,5me0Irg2ANcsgc93uaYrpb,2HTbQ0RHwukKVXAlTmCZP2,1994
6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,258826,78,3jOstUTkEu2JkjvRdBA5Gu,1xpGyKyV26uPstk1Elgp9Q,1994
1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,178000,81,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,1994
2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,318586,79,5xUf6j4upBrXZPg6AI4MRK,29sTacnS0qA9xri6YS8xLA,1994
6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,194853,77,2UazAtjfzqBF0Nho2awK4z,57lcTrUlYgfMIPvBUsVU6h,1994
3mwvKOyMmG77zZRunnxp9E,Buddy Holly,159226,76,3jOstUTkEu2JkjvRdBA5Gu,1xpGyKyV26uPstk1Elgp9Q,1994
1FkoVC85Ds3mFoK0fVqEqP,Self Esteem,257826,79,5LfGQac0EIXyAN8aUwmNAQ,7IDywTRaCI8qzS3X8tNU3x,1994
5PntSbMHC1ud6Vvl8x56qd,Loser,235000,74,3vbKDsSS70ZX9D2OcvbZmS,0iIGP4Sxw3KR4OCFv2yvz8,1994
3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),153240,77,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,1994
0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,224666,73,78OAtwN3XpjMcjibnF2Kw5,1hB7vz3JKWZ2sKEPeVolH9,1994
0Puj4YlTm6xNzDDADXHMI9,Sabotage,178440,77,03r4iKL2g2442PT9n2UKsx,6lfjbwFGzQ6aSNP1N3JlT8,1994
7nYvUtkQMx1v80S2FH2s9J,Regulate,248866,76,2B4ZHz4QDWJTXPFPgO5peE,2VMGv3inRLPM4GOMXf37qu,1994
1Hv1VTm8zeOeybub15mA2R,Smooth Operator - Single Version,258693,81,47zz7sob9NUcODy0BTDvKx,3uSWaQxJAdm5MWKQkQJNoK,1994
5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,302760,77,5me0Irg2ANcsgc93uaYrpb,2HTbQ0RHwukKVXAlTmCZP2,1994
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),155453,76,1Mxqyy3pSjf8kZZL4QVxS0,4XbPmVHP7EYBMoE7ZVjKCU,1994
2JuasWPUodaUxf5nwNpciQ,Nutshell,259200,74,64tNsm6TnZe2zpcMVMOoHL,4FCoFSNIFhK36holxHWCnc,1994
6qspW4YKycviDFjHBOaqUY,Waterfalls,279506,76,0TImkz4nPqjegtVSMZnMRq,5eg56dCpFn32neJak2vk0f,1994
2oDqmfa2g8W893LlwJG1qu,Closer,373000,70,0X380XXQSNBYuleKzav5UO,3nJnyDV8fwFpffo0EyHQto,1994
5JJDu0Z5DKe7mR31MGksSg,Come Out and Play,197800,75,5LfGQac0EIXyAN8aUwmNAQ,7IDywTRaCI8qzS3X8tNU3x,1994
1OFKUn2VLafrHj7ybnap0Q,Only Wanna Be With You,229586,72,08ct2eZF5lUPdJpHwNKWof,5AYmpTfdv1OoASUJ5rZB7K,1994
6Pur3hWy6Nzc27ilmsp5HA,Lamento Boliviano,222226,82,4TK1gDgb7QKoPFlzRrBRgR,3y63u5vmuMugqI8lfuUY3a,1994
6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over",404213,74,3nnQpaTvKb5jCQabZefACI,7yQtjAjhtNi76KRu05XWFS,1994
15VRO9CQwMpbqUYA7e6Hwg,The Man Who Sold The World - Live,261093,78,6olE6TJLqED3rqDCT0FyPh,1To7kv722A8SpZF789MZy7,1994
7qHAjAL7CpadaZLamuBZRm,Thuggish Ruggish Bone,281773,71,5spEJXLwD1sKUdC2bnOHPg,5g2FfZVMvBqRmuHjNsaf3l,1994
