song_id,song_name,song_duration,song_popularity,artist_id,album_id,tempo,type,loudness,mode,speechiness,liveness,valence,danceability,energy,acousticness,instrumentalness,album_release_date,album_popularity,Year,artist_genres,artist_popularity
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,241106,89,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,150.273,audio_features,-7.463,1,0.0384,0.0708,0.35,0.336,0.627,0.164,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),153240,77,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,127.148,audio_features,-7.444,1,0.0317,0.109,0.704,0.561,0.782,0.022,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
3B7FO3kJ5kv3mX7yiaB7sT,O Holy Night,266933,69,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,173.977,audio_features,-7.208,1,0.0285,0.154,0.192,0.368,0.505,0.367,6.63e-06,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
1f2lkuLldqRzvaFjJdjGXX,Santa Claus Is Comin' to Town,204173,66,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,143.113,audio_features,-7.984,1,0.0396,0.698,0.422,0.549,0.75,0.209,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
1sFWEpf1aPYN576LS1aa4Y,Silent Night,219293,64,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,174.903,audio_features,-11.667,1,0.0343,0.113,0.236,0.172,0.363,0.812,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
2OggiWqL8exckT6kOrcDuA,Joy to the World,257933,56,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,120.396,audio_features,-9.085,1,0.046,0.528,0.237,0.566,0.785,0.0809,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
74VQqRHWXDUyErPqwdeG5D,Hark! The Herald Angels Sing / Gloria (In Excelsis Deo),179440,56,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,92.933,audio_features,-12.139,1,0.0274,0.168,0.281,0.273,0.236,0.848,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
1uQRAiaDstq15Vd52ryoI7,Miss You Most (At Christmas Time),271560,55,4iHNK0tOyZPYnBU7nGAgpQ,61ulfFSmmxMhc2wCdmdMkN,139.765,audio_features,-12.999,1,0.0337,0.104,0.144,0.329,0.221,0.851,0.0,1994-10-28,80,1994,"dance pop, pop, urban contemporary",77
6xkryXuiZU360Lngd4sx13,Fantasy,243493,79,4iHNK0tOyZPYnBU7nGAgpQ,1ibYM4abQtSVQFQWvDSo4J,102.322,audio_features,-7.588,1,0.0353,0.123,0.807,0.669,0.727,0.139,0.0,1995-10-03,73,1995,"dance pop, pop, urban contemporary",77
2aBxt229cbLDOvtL7Xbb9x,Always Be My Baby,258133,75,4iHNK0tOyZPYnBU7nGAgpQ,1ibYM4abQtSVQFQWvDSo4J,78.946,audio_features,-8.335,1,0.0364,0.249,0.487,0.65,0.531,0.457,0.0,1995-10-03,73,1995,"dance pop, pop, urban contemporary",77
7ySbfLwdCwl1EM0zNCJZ38,One Sweet Day,281066,71,4iHNK0tOyZPYnBU7nGAgpQ,1ibYM4abQtSVQFQWvDSo4J,128.234,audio_features,-8.964,1,0.0299,0.0839,0.303,0.568,0.495,0.353,0.0,1995-10-03,73,1995,"dance pop, pop, urban contemporary",77
2AlO5CLisJAA9X5JybMtuz,Fantasy (feat. O.D.B.) - Bad Boy Fantasy,291360,59,4iHNK0tOyZPYnBU7nGAgpQ,4aK77BPpiigFVQaLqs7AI4,102.467,audio_features,-6.519,0,0.102,0.0409,0.804,0.812,0.661,0.0501,0.0,1995-09-12,48,1995,"dance pop, pop, urban contemporary",77
0jsANwwkkHyyeNyuTFq2XO,Heartbreaker (feat. Jay-Z),285706,67,4iHNK0tOyZPYnBU7nGAgpQ,1iSTXHBhLc9ImaqyvVZGft,200.031,audio_features,-5.872,1,0.37,0.349,0.789,0.524,0.816,0.383,0.0,1999-11-02,60,1999,"dance pop, pop, urban contemporary",77
1RS3LStQYhju50eBdD9Uul,Thank God I Found You (feat. Joe & 98°),257360,62,4iHNK0tOyZPYnBU7nGAgpQ,1iSTXHBhLc9ImaqyvVZGft,129.297,audio_features,-5.882,1,0.0331,0.106,0.148,0.348,0.532,0.592,0.0,1999-11-02,60,1999,"dance pop, pop, urban contemporary",77
2itAOPLerxnnc8KXHMqPWu,Fantasy (feat. O.D.B.),290466,61,4iHNK0tOyZPYnBU7nGAgpQ,7GTZRYNB0eAig7UTsb54XG,102.497,audio_features,-9.658,1,0.116,0.05,0.821,0.837,0.548,0.0407,0.0,2003-10-14,54,2003,"dance pop, pop, urban contemporary",77
3LmvfNUQtglbTrydsdIqFU,We Belong Together,201400,73,4iHNK0tOyZPYnBU7nGAgpQ,43iBTEWECK7hSnE0p6GgNo,139.986,audio_features,-7.89,1,0.0601,0.09,0.762,0.837,0.462,0.0339,0.0,2005-04-12,64,2005,"dance pop, pop, urban contemporary",77
4VKnkoNNM6yTb4cXXX3wqD,Shake It Off,232840,62,4iHNK0tOyZPYnBU7nGAgpQ,43iBTEWECK7hSnE0p6GgNo,134.086,audio_features,-6.516,1,0.126,0.108,0.82,0.777,0.493,0.181,0.0,2005-04-12,64,2005,"dance pop, pop, urban contemporary",77
7zL9xrz5krsuC6qVNluQQw,It's Like That,203360,56,4iHNK0tOyZPYnBU7nGAgpQ,43iBTEWECK7hSnE0p6GgNo,95.953,audio_features,-4.875,0,0.0514,0.0315,0.836,0.8,0.633,0.0901,0.0,2005-04-12,64,2005,"dance pop, pop, urban contemporary",77
1HkVSmzBbdZ5Bzdd00IZgh,Don't Forget About Us - Radio Edit,233866,61,4iHNK0tOyZPYnBU7nGAgpQ,7MMpjM0wynysTbhpvKjHrm,143.635,audio_features,-6.859,0,0.0383,0.1,0.431,0.699,0.543,0.0457,0.0,2005-04-12,54,2005,"dance pop, pop, urban contemporary",77
2aEuXA1KswHlCGPOuPmCOW,Touch My Body,204733,76,4iHNK0tOyZPYnBU7nGAgpQ,31MluXLYC0ZnCSfUZ5T4GX,78.515,audio_features,-7.736,0,0.0509,0.226,0.842,0.714,0.665,0.0996,0.0,2008-04-15,67,2008,"dance pop, pop, urban contemporary",77
3IcIIZMMS7UArJJPtEHXG8,Obsessed,242200,71,4iHNK0tOyZPYnBU7nGAgpQ,3RPImDZ7Ihh5YR5iJh1gH1,86.443,audio_features,-5.557,0,0.0625,0.826,0.369,0.742,0.468,0.0465,0.0,2009-09-29,62,2009,"dance pop, pop, urban contemporary",77
0SgbP5ZZOsUiHlE8EfeHma,It's A Wrap,238866,62,4iHNK0tOyZPYnBU7nGAgpQ,3RPImDZ7Ihh5YR5iJh1gH1,179.869,audio_features,-7.166,0,0.0631,0.0552,0.401,0.626,0.357,0.354,0.0,2009-09-29,62,2009,"dance pop, pop, urban contemporary",77
04t8HpnAGcLaWnBwzVR7H1,Oh Santa!,211000,61,4iHNK0tOyZPYnBU7nGAgpQ,4q88opkbXkvvL0iIvbs0pv,78.482,audio_features,-3.653,1,0.178,0.22,0.52,0.661,0.916,0.0197,2.86e-05,2010-11-02,54,2010,"dance pop, pop, urban contemporary",77
7EZC6E7UjZe63f1jRmkWxt,Zombie,306440,86,7t0rwkOPGlDPEhaOcVtOt9,1Bwo9JkbVwxGyvtQNMRK21,166.915,audio_features,-8.994,1,0.035,0.367,0.312,0.309,0.649,0.0158,0.00591,1994-10-03,76,1994,"irish rock, pop rock, rock",71
5kcsc92tGAjS0uvhDY3Mok,Ode To My Family,271533,74,7t0rwkOPGlDPEhaOcVtOt9,1Bwo9JkbVwxGyvtQNMRK21,93.953,audio_features,-10.11,1,0.0235,0.344,0.149,0.365,0.443,0.0472,1.44e-06,1994-10-03,76,1994,"irish rock, pop rock, rock",71
4X0YxjnkSXCeVcYOkkAsyH,I Can't Be With You,187840,59,7t0rwkOPGlDPEhaOcVtOt9,1Bwo9JkbVwxGyvtQNMRK21,130.715,audio_features,-10.429,1,0.0314,0.122,0.708,0.469,0.752,0.0778,1.66e-05,1994-10-03,76,1994,"irish rock, pop rock, rock",71
3EXrtClWmgsM7dw75Mw2M1,When You're Gone,296200,60,7t0rwkOPGlDPEhaOcVtOt9,5G3I9bLpCZxK4XeLyJ69iu,186.762,audio_features,-7.128,1,0.0267,0.0691,0.348,0.454,0.524,0.351,4.32e-05,1996-04-30,56,1996,"irish rock, pop rock, rock",71
1ayRJ4dlr48VJ3FK6uPq2i,Salvation,142906,59,7t0rwkOPGlDPEhaOcVtOt9,5G3I9bLpCZxK4XeLyJ69iu,169.082,audio_features,-4.525,1,0.0861,0.317,0.889,0.341,0.977,0.000553,1.41e-05,1996-04-30,56,1996,"irish rock, pop rock, rock",71
3J58Ccc5iTbCRnYx2xjo6d,Animal Instinct,211066,67,7t0rwkOPGlDPEhaOcVtOt9,2v9PjvIkQVnyQdtD1iQD7e,132.174,audio_features,-5.411,0,0.0307,0.256,0.604,0.61,0.85,0.089,0.0,1999-04-19,62,1999,"irish rock, pop rock, rock",71
0f0k0OJ9VbaLHX4J1t2qUy,Just My Imagination,221293,65,7t0rwkOPGlDPEhaOcVtOt9,2v9PjvIkQVnyQdtD1iQD7e,100.464,audio_features,-5.315,1,0.0252,0.0884,0.852,0.545,0.797,0.257,3.86e-06,1999-04-19,62,1999,"irish rock, pop rock, rock",71
2Qdnk7tbc4onLOIPd1eSNE,When You're Gone,232200,65,7t0rwkOPGlDPEhaOcVtOt9,1JXjYl5WVr3wFgV3DMIHMl,187.525,audio_features,-6.893,1,0.0271,0.254,0.371,0.45,0.525,0.522,2.43e-06,2002-09-16,57,2002,"irish rock, pop rock, rock",71
6L89mwZXSOwYl76YXfX13s,Basket Case,181533,84,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,85.064,audio_features,-3.205,1,0.0602,0.091,0.781,0.442,0.943,0.00293,8.71e-06,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,178000,81,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,97.546,audio_features,-4.236,1,0.034,0.231,0.814,0.531,0.909,0.0175,0.0,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
5kr3j5Clb9rjEposoMyLVt,Welcome to Paradise,224133,72,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,89.428,audio_features,-4.162,0,0.0378,0.0563,0.717,0.37,0.96,0.000241,0.0116,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
3LRJbFT9rKoKv4aW7PuBJC,Longview,233240,69,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,142.504,audio_features,-7.594,0,0.0536,0.0854,0.814,0.381,0.732,0.00834,0.0101,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
4wsQGsdf8D0Bj26cGdvreB,She,134293,70,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,93.307,audio_features,-3.939,0,0.0356,0.0904,0.874,0.37,0.937,7.37e-05,0.00817,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
7dVDWf0wud70V4PgYfKnaG,Burnout,127533,62,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,90.861,audio_features,-5.261,1,0.0355,0.0959,0.891,0.5,0.921,0.000165,0.00118,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
0eUJzAGs9OKSOmLVpsng7e,Having a Blast,164666,57,7oPftvlwr6VrsViSDV7fJY,4uG8q3GPuWHQlRbswMIRS6,89.695,audio_features,-6.36,1,0.0455,0.353,0.825,0.449,0.938,0.00181,0.0,1994-02-01,79,1994,"modern rock, permanent wave, punk, rock",78
